 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
383,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:10718-07564,15.489,1.203,0.138,14.559,2420.352,3430.514,4.484,4.484,0.918,1.035,0.966,0.924
384,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:11064-07080,0.718,4.461,0.191,3.358,2266.938,3543.252,1.281,0.961,0.800,1.329,0.752,0.737
385,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:11155-14384,7.488,1.004,0.017,10.185,4604.979,3571.437,3.843,2.562,0.907,1.431,0.699,0.907
386,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:11250-06916,54.982,1.000,0.000,27.493,2211.210,3598.981,8.007,8.648,0.914,1.105,0.905,0.952
387,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:11525-03436,0.205,5.617,0.116,1.922,1100.480,3690.901,0.320,0.641,0.698,2.000,0.500,1.000
388,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:11814-03113,14.566,0.998,4.766E-5,13.996,994.788,3781.860,4.804,4.164,0.934,1.080,0.926,0.922
389,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:12073-08439,7.386,1.041,0.056,10.450,2700.917,3865.453,3.843,2.883,0.850,1.531,0.653,0.883
390,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:12109-00841,7.488,5.051,0.455,10.638,267.433,3876.983,3.843,2.883,0.832,1.367,0.731,0.864
391,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:12113-02065,8.309,2.236,0.162,10.638,659.776,3877.944,3.523,3.203,0.923,1.233,0.811,0.910
392,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:12474-00197,21.234,2.836,1.094,17.386,60.533,3992.604,5.124,5.445,0.883,1.137,0.880,0.920
393,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:12592-05423,0.513,3.455,0.229,3.358,1736.235,4032.639,1.281,0.961,0.572,2.126,0.470,0.625
394,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:12763-03969,9.642,1.005,0.019,11.356,1269.588,4085.806,3.203,4.164,0.940,1.250,0.800,0.917
395,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:13153-04342,12.617,1.621,0.142,13.465,1388.412,4210.715,4.484,3.843,0.874,1.181,0.847,0.908
396,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:13221-06515,10.566,1.005,0.029,12.637,2085.020,4232.173,3.523,4.484,0.831,1.177,0.850,0.884
397,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:13327-03227,8.104,3.060,0.273,10.482,1032.261,4266.764,2.883,3.203,0.927,1.079,0.927,0.946
398,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:13413-08282,5.539,1.881,0.256,10.638,2651.274,4293.987,2.562,4.164,0.615,2.486,0.402,0.800
399,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:14043-02984,1.128,1.667,0.134,3.811,955.073,4497.045,1.281,1.281,0.976,1.328,0.753,0.815
400,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:15711-04612,1.949,2.956,0.333,5.170,1476.168,5031.271,1.922,1.601,0.916,1.381,0.724,0.809
401,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:16675-10102,3.180,4.241,0.453,6.716,3234.503,5339.700,2.242,2.242,0.886,1.657,0.603,0.838
