 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
219,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04317-05892,3.693,2.184,0.124,7.014,1886.126,1381.686,1.922,2.242,0.943,1.097,0.911,0.935
220,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04434-14075,87.808,1.068,0.101,35.413,4502.810,1414.675,10.569,10.890,0.880,1.226,0.816,0.950
221,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04469-07573,16.207,1.085,0.203,15.012,2423.235,1429.087,4.804,4.484,0.904,1.142,0.876,0.919
222,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04756-12836,7.591,2.016,0.199,10.262,4109.506,1521.648,3.523,3.203,0.906,1.110,0.901,0.881
223,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04778-12100,8.206,2.965,0.378,10.715,3873.781,1528.374,3.203,3.843,0.898,1.333,0.750,0.884
224,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04859-09234,13.335,1.621,0.215,13.653,2955.539,1553.996,3.843,4.484,0.899,1.135,0.881,0.919
225,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04870-09071,22.875,1.017,0.050,25.571,2901.092,1556.879,8.327,6.085,0.440,1.680,0.595,0.644
226,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04913-12270,42.160,2.212,0.845,24.665,3926.306,1569.690,7.046,8.007,0.871,1.134,0.882,0.933
227,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05080-07168,40.519,1.110,0.157,23.837,2291.920,1623.497,7.687,7.046,0.896,1.164,0.859,0.938
228,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05089-13686,36.210,1.157,0.145,22.478,4379.822,1626.700,7.366,6.406,0.901,1.218,0.821,0.941
229,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05190-09329,37.544,1.013,0.039,22.854,2984.364,1659.048,7.046,6.726,0.903,1.119,0.893,0.941
230,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05372-09418,1.539,1.942,0.103,4.264,3015.752,1719.901,1.281,1.601,1.000,1.435,0.697,0.882
231,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05416-09742,13.233,2.629,0.475,13.653,3118.241,1732.712,4.164,4.164,0.892,1.125,0.889,0.915
232,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05669-07904,8.719,1.522,0.353,11.090,2529.888,1814.063,3.523,3.523,0.891,1.055,0.948,0.895
233,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05709-09552,10.463,2.767,0.240,12.637,3057.388,1826.554,3.843,4.164,0.823,1.036,0.965,0.857
234,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05752-09197,0.718,3.983,0.248,3.358,2945.290,1841.607,0.961,1.281,0.800,2.041,0.490,0.778
235,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05830-05190,9.540,6.658,1.961,13.355,1660.009,1865.308,4.484,4.164,0.672,1.346,0.743,0.772
236,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05916-13342,3.898,4.706,0.343,7.810,4271.888,1893.492,2.562,2.562,0.803,1.347,0.743,0.826
237,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:05969-11314,14.053,2.585,0.466,14.371,3621.721,1909.506,4.164,4.804,0.855,1.368,0.731,0.890
238,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06079-08443,13.540,1.726,0.121,14.371,2702.198,1944.737,4.164,4.804,0.824,1.247,0.802,0.880
239,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06104-05693,12.515,1.334,0.300,13.200,1821.750,1952.744,3.523,4.484,0.903,1.259,0.794,0.935
240,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06134-05562,55.906,1.139,0.182,28.024,1777.231,1960.431,8.648,8.648,0.895,1.027,0.974,0.945
241,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06146-04850,12.104,1.025,0.057,13.465,1551.434,1966.516,4.164,4.164,0.839,1.317,0.759,0.887
242,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06427-09697,4.616,0.998,0.005,8.185,3104.469,2057.155,2.562,2.562,0.866,1.424,0.702,0.865
243,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06437-08710,0.923,2.301,0.151,3.358,2789.314,2060.999,0.961,1.281,1.000,1.539,0.650,0.900
244,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06594-04088,46.879,1.299,0.266,25.681,1305.139,2108.400,8.327,7.046,0.893,1.190,0.840,0.945
245,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06732-07576,32.107,1.010,0.027,21.385,2423.555,2152.599,6.085,7.046,0.882,1.133,0.882,0.932
246,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06859-09869,7.591,1.059,0.148,9.997,3159.237,2195.196,3.203,3.203,0.954,1.125,0.889,0.902
247,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06910-07263,10.360,3.731,0.407,12.372,2324.268,2211.210,3.843,3.843,0.851,1.069,0.935,0.874
248,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06916-13622,22.773,1.048,0.102,17.729,4359.965,2212.491,5.765,5.445,0.910,1.186,0.843,0.927
249,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:06997-08499,18.977,1.011,0.024,16.370,2719.814,2238.433,4.804,5.445,0.890,1.183,0.845,0.909
250,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07036-10502,23.080,1.047,0.095,18.027,3361.013,2250.604,5.124,5.765,0.893,1.160,0.862,0.939
251,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:07130-09360,22.157,1.003,0.012,17.464,2995.254,2280.710,5.124,5.765,0.913,1.213,0.824,0.935
