 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
140,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:06720-10059,0.410,2.373,0.126,2.562,3221.371,2151.958,0.641,0.641,0.785,1.000,1.000,1.000
141,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:06719-11708,8.719,1.185,0.193,10.825,3748.231,2150.357,3.203,3.523,0.935,1.274,0.785,0.929
142,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:07087-17472,1.231,1.039,0.031,4.186,5595.603,2269.180,0.961,1.601,0.883,1.610,0.621,0.889
143,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:07357-02818,12.207,1.182,0.188,13.277,900.626,2354.375,4.164,4.164,0.870,1.148,0.871,0.895
144,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:09285-07369,28.312,1.275,0.199,19.916,2357.257,2970.592,6.085,6.406,0.897,1.087,0.920,0.931
145,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:09838-02981,7.283,2.523,0.406,10.981,953.152,3148.988,3.523,3.843,0.759,2.069,0.483,0.835
146,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:09849-12437,14.669,3.556,0.450,18.104,3981.395,3151.550,4.164,6.085,0.562,1.445,0.692,0.786
147,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:09998-05043,2.052,4.356,0.329,5.435,1614.209,3201.194,1.922,1.922,0.873,1.885,0.531,0.800
148,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:10419-08786,0.103,2.561,0.000,1.281,2813.976,3336.992,0.320,0.320,0.785,1.000,1.000,1.000
149,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:10433-08772,1.231,2.241,0.096,5.170,2808.531,3340.836,1.922,1.601,0.579,3.193,0.313,0.686
150,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:10518-10032,15.489,1.101,0.131,14.636,3211.122,3366.138,4.164,5.124,0.909,1.267,0.789,0.921
151,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:10834-09529,5.950,3.730,0.273,9.544,3050.662,3468.307,2.562,3.523,0.821,1.345,0.744,0.847
152,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:11516-11359,0.821,3.162,0.239,3.358,3637.414,3688.019,1.281,0.961,0.914,1.939,0.516,0.842
153,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:11815-13475,20.208,2.143,0.560,16.823,4313.204,3781.540,5.124,5.445,0.897,1.140,0.877,0.923
154,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:11992-04861,0.103,3.676,0.000,1.281,1556.879,3840.792,0.320,0.320,0.785,1.000,1.000,1.000
155,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:11994-04862,0.103,3.821,0.000,1.281,1557.199,3841.432,0.320,0.320,0.785,1.000,1.000,1.000
156,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:12112-14993,7.078,5.591,0.329,10.185,4800.349,3877.624,3.203,3.203,0.857,1.552,0.644,0.868
157,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:13072-06909,2.667,2.180,0.156,6.451,2211.850,4185.733,1.922,2.242,0.805,1.439,0.695,0.852
158,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:13543-04478,0.821,2.254,0.323,3.733,1433.571,4337.225,1.601,0.641,0.740,2.232,0.448,0.889
159,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:14016-08226,0.308,1.566,0.031,2.562,2634.619,4488.717,0.320,0.961,0.589,3.000,0.333,1.000
160,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:00549-05239,15.182,1.845,0.615,14.636,1676.023,173.271,4.164,5.124,0.891,1.271,0.787,0.914
161,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:01264-05768,0.923,1.002,0.017,3.546,1847.052,404.193,0.961,1.281,0.923,1.343,0.745,0.857
162,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:02284-08614,14.258,1.001,8.977E-5,14.183,2756.966,729.276,4.164,4.804,0.891,1.183,0.846,0.906
163,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:02638-06112,3.898,1.861,0.196,7.810,1956.267,843.616,2.562,2.562,0.803,1.917,0.522,0.844
164,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:02649-06080,17.438,1.634,0.222,15.387,1945.057,846.178,4.804,4.484,0.926,1.105,0.905,0.937
165,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:03494-09193,11.079,2.322,0.135,12.637,2942.408,1117.135,3.843,4.164,0.872,1.166,0.858,0.878
166,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:04324-06832,4.616,1.495,0.229,7.732,2187.189,1383.607,2.242,2.562,0.970,1.127,0.887,0.918
167,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:04335-06821,9.232,1.471,0.258,11.466,2182.705,1386.810,3.843,3.203,0.882,1.290,0.775,0.914
168,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:04722-06295,0.615,1.715,0.044,2.905,2015.839,1512.040,0.961,0.961,0.916,1.124,0.890,0.800
169,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:06342-00755,5.539,2.300,0.312,8.638,240.530,2029.932,2.562,2.883,0.933,1.159,0.863,0.885
170,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:06361-00749,4.719,2.207,0.264,7.732,238.929,2036.017,2.242,2.562,0.992,1.281,0.781,0.920
171,Result of unexposed_24h_8well_A3 Region1_Merged_RAW_ch01.tif:09231-07910,19.900,2.530,0.317,19.198,2530.849,2953.297,5.445,6.406,0.679,1.888,0.530,0.822
172,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:01395-03593,5.539,2.909,0.239,8.373,1149.483,445.509,2.562,2.562,0.993,1.058,0.945,0.931
173,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:01451-07327,15.592,3.387,0.270,14.824,2344.446,462.484,4.484,4.804,0.892,1.126,0.888,0.902
174,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:01524-05905,5.642,5.563,0.414,9.169,1889.649,486.825,3.203,2.883,0.843,1.643,0.609,0.859
175,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:01977-06984,18.772,1.688,0.227,15.917,2234.270,630.951,5.124,4.804,0.931,1.055,0.948,0.931
176,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:02636-02527,24.106,2.690,0.404,19.198,806.464,841.374,5.765,5.765,0.822,1.061,0.943,0.890
177,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:02786-04471,6.975,1.204,0.127,9.544,1430.689,890.697,2.883,3.203,0.962,1.198,0.835,0.907
178,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:03269-06623,15.797,2.191,0.243,15.277,2118.969,1044.431,4.484,5.124,0.851,1.353,0.739,0.901
179,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:03429-02673,0.308,2.107,0.050,1.812,855.787,1097.918,0.641,0.641,1.000,1.464,0.683,0.857
180,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:03427-01405,5.950,1.127,0.187,9.091,448.712,1096.317,2.883,2.883,0.905,1.352,0.740,0.879
181,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:03482-06621,2.872,4.968,0.348,6.451,2119.610,1114.252,1.922,2.242,0.867,1.289,0.776,0.824
182,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:03729-04517,35.185,1.760,0.415,26.555,1441.898,1191.119,9.608,6.726,0.627,2.209,0.453,0.834
183,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:03936-08491,3.283,4.085,0.563,6.826,2718.532,1259.659,1.922,2.242,0.885,1.539,0.650,0.889
184,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:04226-03734,13.028,2.048,0.317,13.465,1194.002,1351.259,3.843,4.484,0.903,1.205,0.830,0.910
185,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:04405-06670,31.389,3.392,0.415,20.932,2133.382,1407.628,6.085,6.726,0.900,1.145,0.873,0.932
186,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:05434-03780,16.720,2.574,0.343,15.277,1208.415,1737.837,4.484,5.124,0.900,1.124,0.890,0.916
187,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:05519-06086,0.410,3.023,0.106,2.452,1948.901,1767.302,0.961,0.641,0.857,1.468,0.681,0.800
188,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:05817-01936,13.848,1.372,0.173,13.730,618.139,1860.824,3.843,4.804,0.923,1.260,0.793,0.922
189,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:05913-03215,11.181,1.438,0.211,12.184,1027.777,1891.891,3.843,3.843,0.946,1.059,0.945,0.916
190,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:06444-02482,3.795,4.057,0.231,7.357,793.973,2062.600,2.242,2.562,0.881,1.582,0.632,0.871
191,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:06556-07706,4.206,2.498,0.126,7.622,2466.793,2098.471,2.562,2.562,0.910,1.063,0.941,0.845
192,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:06718-04885,7.078,5.679,0.903,10.372,1562.964,2150.357,3.523,2.883,0.827,1.267,0.789,0.863
193,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:07540-04555,16.310,1.488,0.199,15.277,1456.631,2412.666,4.804,4.804,0.878,1.278,0.783,0.909
194,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:07564-03289,25.542,1.817,0.237,19.010,1050.517,2419.712,6.085,5.765,0.888,1.242,0.805,0.926
195,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:07646-09070,7.488,2.966,0.177,10.638,2903.334,2447.256,3.523,3.203,0.832,1.564,0.639,0.854
196,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:08133-03351,2.052,3.271,0.207,5.545,1072.296,2604.193,1.922,1.601,0.838,1.628,0.614,0.816
197,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:08179-04527,21.952,2.866,0.293,17.729,1447.023,2617.004,5.765,5.445,0.878,1.255,0.797,0.918
198,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:08514-12104,4.924,5.456,0.395,8.373,3875.382,2725.899,2.883,2.242,0.883,1.368,0.731,0.881
199,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:08777-03978,18.669,2.248,0.221,16.293,1271.510,2808.851,5.124,4.804,0.884,1.101,0.908,0.919
200,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:08920-06828,9.642,3.617,0.325,11.466,2185.267,2854.972,3.203,3.843,0.922,1.234,0.810,0.913
201,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:09302-05813,12.515,2.147,0.536,15.277,1859.863,2976.678,3.843,5.124,0.674,1.738,0.575,0.813
202,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:10412-10757,57.855,4.164,0.806,29.039,3440.763,3330.587,8.968,8.327,0.862,1.194,0.837,0.931
203,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:11760-08929,11.386,2.477,0.184,13.277,2857.534,3764.565,4.484,3.843,0.812,1.329,0.753,0.877
204,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:12299-08093,2.257,1.864,0.092,5.280,2591.381,3938.477,1.601,1.601,1.000,1.083,0.923,0.936
205,Result of unexposed_24h_8well_A4 Region1_Merged_RAW_ch01.tif:12504-08216,15.489,1.995,0.156,15.089,2628.854,4002.853,5.445,4.164,0.855,1.453,0.688,0.910
206,Result of unexposed_24h_8well_B1 Region1_Merged_RAW_ch01.tif:01383-05396,8.924,4.681,1.642,11.090,1726.627,441.345,3.523,3.523,0.912,1.122,0.892,0.902
