 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
2677,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02341-12226,17.336,3.517,1.233,15.464,3913.175,747.532,5.124,4.484,0.911,1.082,0.924,0.923
2678,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02388-11982,0.103,1.902,0,1.281,3837.589,764.827,0.32,0.32,0.785,1,1,1
2679,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02390-11986,0.103,1.585,0,1.281,3838.87,765.468,0.32,0.32,0.785,1,1,1
2680,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02395-05780,0.103,1.113,0,1.281,1851.216,767.069,0.32,0.32,0.785,1,1,1
2681,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02395-05783,0.513,1.155,0.059,3.171,1851.856,766.429,0.641,1.281,0.641,2.422,0.413,0.714
2682,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02405-12002,0.103,2.675,0,1.281,3843.995,770.272,0.32,0.32,0.785,1,1,1
2683,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02407-11988,0.103,3.204,0,1.281,3839.511,770.913,0.32,0.32,0.785,1,1,1
2684,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02407-11991,0.103,2.952,0,1.281,3840.472,770.913,0.32,0.32,0.785,1,1,1
2685,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02407-11999,0.103,3.998,0,1.281,3843.034,770.913,0.32,0.32,0.785,1,1,1
2686,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02393-11996,66.471,2.212,0.768,73.039,3836.628,760.344,11.21,12.171,0.157,1.187,0.843,0.645
2687,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02649-11622,9.335,5.777,0.812,12.449,3720.367,846.819,3.843,3.523,0.757,1.187,0.842,0.858
2688,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02723-10609,11.079,1.199,0.276,12.559,3395.924,870.199,3.843,3.843,0.883,1.018,0.982,0.896
2689,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02810-10701,21.849,2.912,0.271,17.995,3424.428,897.103,5.765,5.765,0.848,1.277,0.783,0.912
2690,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02864-08231,10.36,1.635,0.465,12.449,2634.619,915.359,3.523,4.164,0.84,1.399,0.715,0.89
2691,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02960-05799,0.103,1.937,0,1.281,1857.301,948.027,0.32,0.32,0.785,1,1,1
2692,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02959-05798,0.923,2.058,0.068,6.341,1856.34,946.746,1.281,1.922,0.289,1.604,0.623,0.514
2693,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02979-10480,26.568,1.273,0.217,19.994,3353.967,950.91,5.445,6.726,0.835,1.3,0.77,0.922
